Author,Name,Format,Price,Rating,Url
Джон Гивенс,"Образ Христа в русской литературе. Достоевский, Толстой, Булгаков, Пастернак",текст,399.0,3.0,https://www.litres.ru/book/dzhon-givens/obraz-hrista-v-russkoy-literature-dostoevskiy-tolstoy-bulgako-68458415/
Михаил Булгаков,Записки юного врача,аудиокнига,229.0,21.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-unogo-vracha-291992/
Борис Булгаков,Карлос Кастанеда. Жизнь и смерть Воина,аудиокнига,269.0,5.0,https://www.litres.ru/audiobook/boris-bulgakov/karlos-kastaneda-zhizn-i-smert-voina-48451683/
Михаил Булгаков,Дьяволиада. Роковые яйца,аудиокнига,219.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/dyavoliada-rokovye-yayca-68448139/
Евгений Жаринов,"Лекция 3. «Михаил Булгаков, Мастер и Маргарита», лекторий «Формула любви»",аудиокнига,279.0,2.0,https://www.litres.ru/audiobook/evgeniy-viktorovich/lekciya-3-mihail-bulgakov-master-i-margarita-lektoriy-69289075/
Борис Соколов,Тайны Булгакова. Расшифрованная «Белая гвардия»,аудиокнига,499.0,1.0,https://www.litres.ru/audiobook/boris-vadimovich-sokolov/tayny-bulgakova-rasshifrovannaya-belaya-gvardiya-69538891/
Анри Бергсон,Творческая эволюция,аудиокнига,259.0,2.0,https://www.litres.ru/audiobook/anri-bergson/tvorcheskaya-evoluciya-63432278/
Михаил Булгаков,Морфий (сборник),аудиокнига,159.0,23.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-23301454/
Михаил Булгаков,Записки покойника,аудиокнига,229.0,5.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-pokoynika-22607304/
Михаил Булгаков,Путевые заметки,аудиокнига,271.0,5.0,https://www.litres.ru/audiobook/mihail-bulgakov/putevye-zametki-63115653/
Михаил Булгаков; Александр Пушкин,"История. Узнавай историю, читая классику",текст,249.0,4.5,https://www.litres.ru/book/mihail-bulgakov/istoriya-uznavay-istoriu-chitaya-klassiku-38621179/
Михаил Булгаков,Иван Васильевич,текст,,4.5,https://www.litres.ru/book/mihail-bulgakov/ivan-vasilevich-173509/
Михаил Булгаков,Роковые яйца,аудиокнига,253.0,4.0,https://www.litres.ru/audiobook/mihail-bulgakov/rokovye-yayca-48765027/
Анри Бергсон,Творческая эволюция,текст,209.0,4.2,https://www.litres.ru/book/anri-bergson/tvorcheskaya-evoluciya-43297399/
Михаил Булгаков,Жизнь господина де Мольера,текст,,4.8,https://www.litres.ru/book/mihail-bulgakov/zhizn-gospodina-de-molera-145200/
Михаил Булгаков,Белая гвардия,текст,149.0,4.8,https://www.litres.ru/book/mihail-bulgakov/belaya-gvardiya-69314131/
Борис Соколов,Расшифрованный Булгаков. Тайны «Мастера и Маргариты»,текст,279.0,4.0,https://www.litres.ru/book/boris-vadimovich-sokolo/rasshifrovannyy-bulgakov-tayny-mastera-i-margarity-640785/
Михаил Булгаков,Самоцветный быт,аудиокнига,179.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/samocvetnyy-byt-69591679/
Михаил Булгаков; Андрей Шляхов,Байки приемного покоя (сборник),текст,139.0,2.9,https://www.litres.ru/book/mihail-bulgakov/bayki-priemnogo-pokoya-6179139/
Михаил Булгаков,Мастер и Маргарита (в сокращении),аудиокнига,253.0,42.0,https://www.litres.ru/audiobook/mihail-bulgakov/master-i-margarita-v-sokraschenii-282192/
Михаил Булгаков,«Собачье сердце» + лекция,аудиокнига,249.0,7.0,https://www.litres.ru/audiobook/dmitriy-bykov/sobache-serdce-lekciya-dmitriya-bykova-30473405/
Андрей Викторович Яценко,Анализ романа «Мастер и Маргарита» Михаила Булгакова,текст,199.0,0.0,https://www.litres.ru/book/andrey-viktorovich-yace/analiz-romana-master-i-margarita-mihaila-bulgakova-66687014/
Екатерина Евтухова,Серп и крест. Сергей Булгаков и судьбы русской религиозной философии (1890–1920),текст,399.0,3.0,https://www.litres.ru/book/ekaterina-evtuhova/serp-i-krest-sergey-bulgakov-i-sudby-russkoy-religiozno-68458388/
Юрий Воробьевский,Неизвестный Булгаков. На свидании с сатаной,текст,139.0,3.8,https://www.litres.ru/book/uriy-vorobevskiy/neizvestnyy-bulgakov-na-svidanii-s-satanoy-27443875/
Елена Николаевна Алифанова; Наталья Евгеньевна Анненская,Финансовые рынки: цифровая трансформация. (Магистратура). Монография.,текст,399.0,0.0,https://www.litres.ru/book/andrey-leonidovich-b/finansovye-rynki-cifrovaya-transformaciya-magistratur-67359354/
Протоиерей Сергий Булгаков,Чаша Грааля. Софиология страдания,текст,320.0,3.5,https://www.litres.ru/book/protoierey-sergiy-bulgakov/chasha-graalya-sofiologiya-stradaniya-64093351/
Михаил Булгаков,Самоцветный быт,текст,149.0,4.0,https://www.litres.ru/book/mihail-bulgakov/samocvetnyy-byt-66431678/
Михаил Булгаков,Зойкина квартира,аудиокнига,99.0,9.0,https://www.litres.ru/audiobook/mihail-bulgakov/zoykina-kvartira-22204302/
Михаил Булгаков,Под пятой. Записные книжки Мастера (сборник),текст,279.0,5.0,https://www.litres.ru/book/mihail-bulgakov/pod-pyatoy-zapisnye-knizhki-mastera-9477071/
Михаил Булгаков,Зойкина квартира,аудиокнига,129.0,4.0,https://www.litres.ru/audiobook/mihail-bulgakov/zoykina-kvartira-68792220/
Михаил Булгаков,Записки юного врача,аудиокнига,253.0,6.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-unogo-vracha-284842/
Михаил Булгаков,Тьма Египетская,аудиокнига,89.0,13.0,https://www.litres.ru/audiobook/mihail-bulgakov/tma-egipetskaya-6604191/
Михаил Булгаков,Записки юного врача,аудиокнига,149.0,4.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-unogo-vracha-66633348/
Михаил Булгаков,Мастер и Маргарита. Библейская тема,аудиокнига,253.0,9.0,https://www.litres.ru/audiobook/mihail-bulgakov/master-i-margarita-bibleyskaya-tema-7013101/
Лейтенант Дегре,Ясон,текст,399.0,3.0,https://www.litres.ru/book/leytenant-degre/yason-58536358/
Михаил Булгаков,Юмористические рассказы,аудиокнига,229.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/umoristicheskie-rasskazy-595115/
Михаил Булгаков,Морфий,аудиокнига,179.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-67986447/
Наталья Викторовна Угрюмова; Александра Анатольевна Угрюмова,"Развитие орошаемого земледелия по регионам России. Тенденции и перспективы. (Аспирантура, Бакалавриат, Магистратура). Монография.",текст,790.0,0.0,https://www.litres.ru/book/aleksandra-ugrumova/razvitie-oroshaemogo-zemledeliya-po-regionam-rossii-te-68442728/
Олег Шишкин,Биография Воланда,аудиокнига,419.0,3.0,https://www.litres.ru/audiobook/oleg-shishkin/biografiya-volanda-44788079/
Е. А. Земская,Михаил Булгаков и его родные. Семейный портрет,текст,200.0,2.0,https://www.litres.ru/book/elena-zemskaya/mihail-bulgakov-i-ego-rodnye-semeynyy-portret-5810445/
И. О. Родин,М. А. Булгаков «Собачье сердце». Основное содержание. Анализ текста. Литературная критика. Сочинения.,текст,,4.5,https://www.litres.ru/book/i-o-rodin/m-a-bulgakov-sobache-serdce-osnovnoe-soderzhanie-analiz-teksta-l-43203626/
Михаил Булгаков,Вьюга,аудиокнига,59.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/vuga-69583477/
Михаил Булгаков,Тьма египетская,аудиокнига,99.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/tma-egipetskaya-69807556/
